epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.49432,1.44492,3.4336,1.72216,0.00701,1,0.09772,0.04917,1.32824,4.026,1.5209,0,0,0
2,7.12417,1.18013,3.33261,1.60678,0.0069,1,0.09328,0.046,1.30433,4.00031,1.50101,1.20875e-05,1.20875e-05,1.20875e-05
3,10.9276,0.99828,3.32764,1.40677,0.00677,1,0.11401,0.05631,1.21347,3.9757,1.42819,2.335e-05,2.335e-05,2.335e-05
4,14.4201,1.12027,3.23289,1.58926,0.00673,1,0.20137,0.07497,1.06762,3.88785,1.34083,3.37875e-05,3.37875e-05,3.37875e-05
5,17.6904,1.43167,3.45424,1.86121,0.00679,1,0.2041,0.07675,0.95019,3.83352,1.254,4.34e-05,4.34e-05,4.34e-05
6,20.9691,0.97092,3.10685,1.45486,0.00677,1,0.29398,0.09293,1.00603,3.59919,1.24977,5.21875e-05,5.21875e-05,5.21875e-05
7,24.8094,0.80024,3.2981,1.36573,0.00671,1,0.53896,0.18508,0.84648,3.56208,1.17346,6.015e-05,6.015e-05,6.015e-05
8,28.3154,1.16491,3.51139,1.68765,0.00677,1,0.53896,0.19174,0.71772,3.57641,1.10637,6.72875e-05,6.72875e-05,6.72875e-05
9,32.3307,0.46775,3.17298,1.14203,0.00677,1,0.53896,0.19174,0.71772,3.57641,1.10637,7.36e-05,7.36e-05,7.36e-05
10,35.7739,0.73437,3.23964,1.33134,0.00669,1,0.55969,0.25497,0.61843,3.55628,1.02041,7.90875e-05,7.90875e-05,7.90875e-05
11,38.9753,0.52531,3.04546,1.21441,0.00669,1,0.55969,0.25497,0.61843,3.55628,1.02041,8.375e-05,8.375e-05,8.375e-05
12,42.1316,0.78189,3.23234,1.50824,0.00677,1,0.56857,0.36246,0.53566,3.5421,0.95148,8.75875e-05,8.75875e-05,8.75875e-05
13,45.8266,0.58377,3.01128,1.21772,0.00677,1,0.56857,0.36246,0.53566,3.5421,0.95148,9.06e-05,9.06e-05,9.06e-05
14,49.3446,0.61141,3.06046,1.21636,0.00674,1,0.66333,0.54725,0.44024,3.53597,0.84587,9.27875e-05,9.27875e-05,9.27875e-05
15,52.943,0.50138,3.1018,1.31093,0.00674,1,0.66333,0.54725,0.44024,3.53597,0.84587,9.415e-05,9.415e-05,9.415e-05
16,82.4058,0.35511,2.97868,1.12467,0.00673,1,0.74625,0.67162,0.35632,3.50611,0.75889,9.46875e-05,9.46875e-05,9.46875e-05
17,89.6296,0.5531,3.04925,1.18236,0.00673,1,0.74625,0.67162,0.35632,3.50611,0.75889,9.44e-05,9.44e-05,9.44e-05
18,94.7254,0.72541,3.13399,1.32113,0.00656,1,0.74625,0.72137,0.30562,3.47406,0.71484,9.32875e-05,9.32875e-05,9.32875e-05
19,100.841,0.4592,2.91312,1.1605,0.00656,1,0.74625,0.72137,0.30562,3.47406,0.71484,9.135e-05,9.135e-05,9.135e-05
20,125.692,0.49997,2.87023,1.12153,0.00641,1,0.74625,0.72137,0.26942,3.46265,0.69756,8.85875e-05,8.85875e-05,8.85875e-05
21,145.378,0.36588,3.39435,1.1128,0.00641,1,0.74625,0.72137,0.26942,3.46265,0.69756,8.5e-05,8.5e-05,8.5e-05
22,172.282,0.81369,3.68145,1.64834,0.00628,1,0.74625,0.72137,0.25068,3.45988,0.69003,8.05875e-05,8.05875e-05,8.05875e-05
23,185.961,0.47005,3.41951,1.16586,0.00628,1,0.74625,0.72137,0.25068,3.45988,0.69003,7.535e-05,7.535e-05,7.535e-05
24,195.412,0.36397,3.4789,1.16477,0.00628,1,0.74625,0.72137,0.25068,3.45988,0.69003,6.92875e-05,6.92875e-05,6.92875e-05
25,202.325,0.76673,3.49768,1.40915,0.00625,1,0.74625,0.72137,0.23843,3.45022,0.67903,6.24e-05,6.24e-05,6.24e-05
26,216.266,0.80326,3.37295,1.6441,0.00625,1,0.74625,0.72137,0.23843,3.45022,0.67903,5.46875e-05,5.46875e-05,5.46875e-05
27,226.744,0.47513,3.42648,1.15354,0.00625,1,0.74625,0.72137,0.23843,3.45022,0.67903,4.615e-05,4.615e-05,4.615e-05
28,234.262,0.82537,3.57892,1.44643,0.00617,1,0.74625,0.72137,0.23605,3.44327,0.68335,3.67875e-05,3.67875e-05,3.67875e-05
29,241.478,0.34896,3.32041,1.09004,0.00617,1,0.74625,0.72137,0.23605,3.44327,0.68335,2.66e-05,2.66e-05,2.66e-05
30,247.694,0.63101,3.44008,1.39308,0.00617,1,0.74625,0.72137,0.23605,3.44327,0.68335,1.55875e-05,1.55875e-05,1.55875e-05
